index	statistic	pvalue	gene
3554	5.65301188833966	4.59046631073878e-05	RFESD
3555	5.64786121828344	4.63451047695296e-05	ZNF224
3541	5.64143519355814	4.69007683987499e-05	PRR22
3540	5.64116599274164	4.69241969430767e-05	PDGFRA
3537	5.6373459045242	4.72579729804412e-05	NUDT22
3538	5.6364247921491	4.73388226822635e-05	TDRD7
3536	5.63559620286918	4.74116740529773e-05	PCTP
3535	5.63470685562561	4.7489997023531e-05	SREK1
3539	5.63315502537733	4.76269856117817e-05	NID2
3556	5.63066181312944	6.2001738832751e-05	RAD18
3552	5.62805839887669	4.80797884707673e-05	EFCAB12
3551	5.62736123037327	4.81420743214667e-05	TOMM22
3553	5.60880240457432	4.98313315018262e-05	CAPRIN2
3546	5.57756817495548	5.2814721171357e-05	SCRG1
3544	5.5769923632871	5.28714304317557e-05	PPP2CA
3543	5.57611553321879	5.29579072131581e-05	RNF219
3505	5.57451428977913	6.84963911257164e-05	SAMM50
3504	5.5737417247014	6.85905507655793e-05	ZNF414
3542	5.57368763030531	5.31981248036439e-05	NUP160
3506	5.57314224614224	6.86637077971231e-05	ZFAND6
3550	5.57229771135857	6.87669082785058e-05	BPIFA2
3503	5.57193747791196	6.88109773150369e-05	TRAIP
3545	5.56309897528072	5.42590731976711e-05	ZNF419
3548	5.55851969346964	5.47246853264127e-05	KIAA0319L
3507	5.55763084258105	7.05852110935989e-05	TTC33
3511	5.55392713658306	7.10522569226102e-05	IGFN1
3547	5.55175164585969	5.54204572089656e-05	GALNT2
3508	5.55166357882586	7.13392828115555e-05	UPK1B
3549	5.53081954737289	5.76310398857638e-05	NFYA
3509	5.51290870040248	7.64456495021548e-05	STAG3L1
3510	5.51134169526983	7.66599675903201e-05	UCMA
3534	5.50283898878636	7.78338490801112e-05	GATA3
3532	5.49886953664771	7.83882730276408e-05	RPGR
3533	5.49753602769142	7.8575450428664e-05	PWWP2B
3531	5.49715770298904	7.86286386182944e-05	TIGD5
3513	5.47367073718446	6.41447755377333e-05	MS4A1
3528	5.4546965124834	6.64726606248722e-05	TAF1A
3530	5.45302706999396	6.66816302632434e-05	ARF4
3529	5.45253107165711	6.6743847229267e-05	THAP11
3512	5.44652034695313	6.75026238525778e-05	LETM1
3527	5.43573269153909	6.88869467299069e-05	TINCR
3525	5.43477360064616	6.90114386492358e-05	PAM16
3526	5.43239658255202	6.93209871223122e-05	XCL1
3502	5.42245177485827	8.99035260775172e-05	PMM2
3501	5.42193919220078	8.99864590591104e-05	TPD52L2
3515	5.35198488774381	8.06873846401768e-05	NMRK1
3514	5.34879577265591	8.11761395094202e-05	NCAPD3
3522	5.34041125943181	8.24758163719963e-05	TRO
3516	5.33297144016581	8.36471088809798e-05	KIF1B
3520	5.33084105866628	8.39856709957676e-05	GFER
3518	5.33069238524415	8.40093512393114e-05	EDF1
3519	5.33042366218069	8.4052170170823e-05	TBPL1
3523	5.32983819367887	8.41455383376877e-05	INSIG2
3521	5.32979132866415	8.41530168254057e-05	ZKSCAN3
3517	5.3290653838708	8.42689474962466e-05	TRAPPC5
3524	5.32771468204846	8.44850900560967e-05	SPDYE2
3557	5.32493764186439	0.000107209494217275	TCEB3B
3558	5.32068985727865	0.000108037956546791	AASDHPPT
3498	5.28795667615081	0.000146890835960201	ZNF23
3589	5.26488089528146	0.00011956296044513	RMND1
3497	5.23194433211624	0.000161852363916526	MRPL1
3500	5.21970580150471	0.000165328570566725	R3HCC1L
3499	5.20614600177563	0.00016927136279965	RMND5A
3571	5.19947393339752	0.000134715120698625	RBM26
3588	5.19601223030989	0.000135570680020791	NRIP3
3572	5.19436087218305	0.000135980800641811	DDX43
3590	5.19250993770579	0.00013644201981422	ZNF543
3602	5.19165478453866	0.000136655657245743	LMX1B
3603	5.19121724298183	0.000136765099866265	PLIN3
3496	5.18948015988104	0.000174252320774726	STOX1
3573	5.1871404307429	0.000137789225416407	UBA6
3574	5.1871404307429	0.000137789225416407	SPATA1
3591	5.18682302801833	0.000137869293026505	FCER2
3587	5.18598439097057	0.000138081079292474	APOA1
3582	5.18554529073406	0.00013819210285626	CAPNS1
3583	5.18486933937363	0.000138363194009616	NRBP2
3593	5.18355922752659	0.000138695425651258	RGS8
3594	5.18346844573088	0.000138718477724842	RAB18
3595	5.18250067166283	0.000138964470636327	VHL
3596	5.18250067166283	0.000138964470636327	PRDM7
3592	5.18100034425802	0.000139346726749423	C1QTNF9B-AS1
3604	5.17815732656602	0.000140074075996477	NDUFAF4
3586	5.17539866285124	0.000140783616327744	RACGAP1
3597	5.17153165865032	0.000141784519496646	KRTAP3-1
3584	5.16958871518837	0.000142290202917783	RPF1
3600	5.16861577969298	0.000142544129414057	MRM1
3570	5.16799276115206	0.000142706978310869	LINC00482
