GO	Term	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
GO:0050690	regulation of defense response to virus by virus	1.53797986714315e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0044403	symbiosis, encompassing mutualism through parasitism	2.01926929671626e-05	NA	NA	NA	NA	NA	NA	NA	NA	0.00078494523821435	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.33744657199086e-05	NA	0.000241018436048947	NA
GO:0044419	interspecies interaction between organisms	2.01926929671626e-05	NA	NA	NA	NA	NA	NA	NA	NA	0.00078494523821435	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.33744657199086e-05	NA	0.000241018436048947	NA
GO:0016032	viral process	2.79597480067365e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000121753169041341	NA	0.000187591310270033	NA
GO:0044764	multi-organism cellular process	2.79597480067365e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000164946976353597	NA	0.000228413691902699	NA
GO:0019050	suppression by virus of host apoptotic process	0.000254017938061505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0039526	modulation by virus of host apoptotic process	0.000254017938061505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0006000	fructose metabolic process	0.000268036015945628	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0043900	regulation of multi-organism process	0.000354592694909565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000539111958487295	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:2001242	regulation of intrinsic apoptotic signaling pathway	0.000354592694909565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0006368	transcription elongation from RNA polymerase II promoter	0.000354592694909565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0033668	negative regulation by symbiont of host apoptotic process	0.000354592694909565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0052041	negative regulation by symbiont of host programmed cell death	0.000354592694909565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0052490	negative regulation by organism of programmed cell death in other organism involved in symbiotic interaction	0.000354592694909565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0060154	cellular process regulating host cell cycle in response to virus	0.000354592694909565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0019320	hexose catabolic process	0.000365755450115384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0009615	response to virus	0.000365755450115384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:2001244	positive regulation of intrinsic apoptotic signaling pathway	0.000365755450115384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0046365	monosaccharide catabolic process	0.000365755450115384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0006805	xenobiotic metabolic process	0.000365755450115384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0018916	nitrobenzene metabolic process	0.000365755450115384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0030805	regulation of cyclic nucleotide catabolic process	0.000365755450115384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0030820	regulation of cAMP catabolic process	0.000365755450115384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0044531	modulation of programmed cell death in other organism	0.000365755450115384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
