GO	Term	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
GO:0005829	cytosol	1.24454884914512e-08	9.7693494743007e-07	NA	0.000136582770555463	NA	NA	6.02855974238201e-05	NA	7.95207996970435e-07	4.69608882268936e-13	9.64162253049468e-05	0.000102408265345875	0.000668910496186488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.13979855278705e-09
GO:0044444	cytoplasmic part	1.2913609541584e-05	1.0455837149115e-06	NA	0.000220560855280007	NA	NA	0.000241818638039115	NA	0.000166270413133889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.69863473896607e-05
GO:0005737	cytoplasm	3.48001665279366e-05	9.7693494743007e-07	NA	0.000270700358766873	NA	NA	5.05707121129741e-06	NA	2.21165636534498e-05	6.09099487360536e-07	3.86400055323092e-05	0.000102408265345875	NA	0.000126964365068875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.96198918676846e-06
GO:0031988	membrane-bounded vesicle	3.48001665279366e-05	NA	NA	0.000333673109870615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.76247517055836e-06
GO:0000439	core TFIIH complex	3.48001665279366e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0031982	vesicle	5.73660184424611e-05	NA	NA	0.000270700358766873	0.000476108494665113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.94965770916082e-06
GO:0032807	DNA ligase IV complex	7.64005296407751e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0090575	RNA polymerase II transcription factor complex	0.000151201410622854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0033178	proton-transporting two-sector ATPase complex, catalytic domain	0.000151201410622854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0030669	clathrin-coated endocytic vesicle membrane	0.000151201410622854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0005622	intracellular	0.000213900401570192	0.000469930858735607	NA	NA	NA	NA	2.68518468283343e-05	NA	0.000729643124584642	7.82146206881324e-16	3.86400055323092e-05	4.3000534801131e-08	1.22337759228565e-06	2.33213913401647e-12	NA	0.000157643358123584	0.000652327503689107	0.00083695490613957	0.000292113256070546	0.000459449044479772	3.10491229326143e-05	NA	8.92550703076538e-12	5.61366288670417e-12	1.85078880585289e-07	1.82412961551442e-08
GO:0044424	intracellular part	0.000225051443124624	NA	NA	NA	NA	NA	5.05707121129741e-06	NA	0.00058081821039725	7.82146206881324e-16	3.86400055323092e-05	4.3000534801131e-08	4.4866961599229e-07	1.8575783133284e-13	NA	0.000284738484494518	NA	NA	0.000100906352862759	0.000552641611158269	9.16440837341789e-05	NA	4.03364287332965e-13	3.05733218607395e-10	2.06754883717881e-08	2.04072532975245e-08
GO:0045334	clathrin-coated endocytic vesicle	0.000226584160038635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
