GO	Term	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
GO:0005515	protein binding	4.45113357445059e-09	2.36078623073485e-09	1.60918266494295e-05	9.89994005313233e-31	2.55673610183306e-16	4.9729702445212e-10	4.22197259443349e-23	1.32861603218892e-08	1.80578836493765e-44	1.26863369909463e-58	2.79119908223537e-14	6.1038697192468e-33	1.35820981111305e-22	3.14635911549835e-26	7.53068307851788e-10	2.95098278841857e-09	1.38381277546074e-10	3.42990955125949e-08	2.20554266123572e-13	1.58845946891294e-41	1.89003393121835e-06	8.70433131315467e-10	4.10680152935737e-61	3.00090812910225e-56	8.66231642956322e-34	7.01907729912054e-49
GO:0004332	fructose-bisphosphate aldolase activity	0.000348544819873417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0005212	structural constituent of eye lens	0.000348544819873417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0005488	binding	0.000348544819873417	0.000112293464057786	NA	3.78313124242726e-14	2.73613689859374e-05	9.55503690366643e-05	3.08439347406892e-10	6.02203168862265e-05	1.06040933221404e-16	2.3158197145412e-23	2.77495395643049e-06	1.62433041551886e-13	5.05193946032444e-09	5.7665482409841e-10	0.000809572428625947	0.00019499787471241	0.000120069421400136	NA	7.7961839745877e-05	5.42723361372303e-18	0.000485549910668709	0.000794430478501016	2.03345637990648e-24	1.94529564862427e-22	1.35897964491382e-12	1.1889075049248e-20
GO:0046961	proton-transporting ATPase activity, rotational mechanism	0.000348544819873417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0044769	ATPase activity, coupled to transmembrane movement of ions, rotational mechanism	0.000355022622964106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0004364	glutathione transferase activity	0.000355022622964106	NA	NA	0.000142017493447486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0036442	hydrogen-exporting ATPase activity	0.000355022622964106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0016504	peptidase activator activity	0.000747590690977324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0016832	aldehyde-lyase activity	0.000821606345913163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0008565	protein transporter activity	0.00087419622761539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0032795	heterotrimeric G-protein binding	NA	0.000112293464057786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0004535	poly(A)-specific ribonuclease activity	NA	0.000645286819162144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0031997	N-terminal myristoylation domain binding	NA	NA	0.000113764243649121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0048306	calcium-dependent protein binding	NA	NA	0.000113764243649121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000576075572211413
GO:0031800	type 3 metabotropic glutamate receptor binding	NA	NA	0.000163803030993298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0043548	phosphatidylinositol 3-kinase binding	NA	NA	0.000228418110980968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0008420	CTD phosphatase activity	NA	NA	0.000325835863788472	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0035256	G-protein coupled glutamate receptor binding	NA	NA	0.000325835863788472	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0072542	protein phosphatase activator activity	NA	NA	0.000379456162511542	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0030235	nitric-oxide synthase regulator activity	NA	NA	0.000539153261086745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0008179	adenylate cyclase binding	NA	NA	0.000539153261086745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0019211	phosphatase activator activity	NA	NA	0.000539153261086745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0031432	titin binding	NA	NA	0.000750741155970187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0031996	thioesterase binding	NA	NA	0.000750741155970187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000886084573583598	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0050998	nitric-oxide synthase binding	NA	NA	0.000915966125882925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups	NA	NA	NA	0.000443554358832683	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0008934	inositol monophosphate 1-phosphatase activity	NA	NA	NA	0.000765220294693055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0052832	inositol monophosphate 3-phosphatase activity	NA	NA	NA	0.000765220294693055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0052833	inositol monophosphate 4-phosphatase activity	NA	NA	NA	0.000765220294693055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0052834	inositol monophosphate phosphatase activity	NA	NA	NA	0.000765220294693055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0042802	identical protein binding	NA	NA	NA	0.00086476574810682	NA	NA	NA	NA	NA	8.74648793955547e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000786245579500946
GO:0051400	BH domain binding	NA	NA	NA	NA	4.3435444418524e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0032139	dinucleotide insertion or deletion binding	NA	NA	NA	NA	NA	9.55503690366643e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0032135	DNA insertion or deletion binding	NA	NA	NA	NA	NA	0.000355905376768521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity	NA	NA	NA	NA	NA	0.000705443667827991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0042171	lysophosphatidic acid acyltransferase activity	NA	NA	NA	NA	NA	0.000705443667827991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0030983	mismatched DNA binding	NA	NA	NA	NA	NA	0.000772512144955974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0071617	lysophospholipid acyltransferase activity	NA	NA	NA	NA	NA	0.000772512144955974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0097153	cysteine-type endopeptidase activity involved in apoptotic process	NA	NA	NA	NA	NA	NA	NA	NA	0.000525554993291971	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0008134	transcription factor binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.89270687943184e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0019904	protein domain specific binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.76369380612067e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0019899	enzyme binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.74648793955547e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0048027	mRNA 5'-UTR binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000572340546823347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0031490	chromatin DNA binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000572340546823347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0051059	NF-kappaB binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000572340546823347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0042803	protein homodimerization activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000745359268488866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0030332	cyclin binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000745359268488866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0001102	RNA polymerase II activating transcription factor binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000994942023045903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0070034	telomeric RNA binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000640013402096848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0005200	structural constituent of cytoskeleton	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.12553255117722e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0005198	structural molecule activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.10704931729629e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0048365	Rac GTPase binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.35842641500261e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0019905	syntaxin binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000150712891375482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000186081848170877
GO:0000149	SNARE binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00080000683618871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.73309094275033e-10
GO:0017048	Rho GTPase binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00080000683618871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0051427	hormone receptor binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00080000683618871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0097110	scaffold protein binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00080000683618871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0005164	tumor necrosis factor receptor binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00019499787471241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0032813	tumor necrosis factor receptor superfamily binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005621625666791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0003676	nucleic acid binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00010652194306942	NA	NA	NA	6.6873325095854e-05	NA	1.67155576995354e-05	0.000191402268070673	0.000255931861589329	NA
GO:0004679	AMP-activated protein kinase activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000674778699047694	NA	NA	NA	NA	NA	NA	NA
GO:0043130	ubiquitin binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000743849635728612	NA	NA	NA	0.000261134961093194	NA	NA	NA
GO:0031593	polyubiquitin binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000743849635728612	NA	NA	NA	NA	NA	NA	NA
GO:0003677	DNA binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.40276711695942e-05	NA	NA	0.000333294618547951	NA	0.000638322728425734	NA
GO:0070742	C2H2 zinc finger domain binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.37920999804655e-05	NA	NA	NA	NA	NA	NA
GO:0004514	nicotinate-nucleotide diphosphorylase (carboxylating) activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000875329907970189	NA	NA	NA	NA	NA	NA
GO:0003723	RNA binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.24427399000117e-06	NA	NA	0.00058603871378899	NA	NA
GO:0044822	poly(A) RNA binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.95031794657918e-05	NA	NA	0.000397679111255928	NA	NA
GO:0004668	protein-arginine deiminase activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000149112874768094	NA	NA	NA	NA	NA
GO:0016813	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000507175650519495	NA	NA	NA	NA	NA
GO:0019789	SUMO transferase activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000507175650519495	NA	NA	NA	NA	NA
GO:0003727	single-stranded RNA binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000709259351558586	NA	NA	NA	NA	NA
GO:0070717	poly-purine tract binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000877481148481127	NA	NA	NA	NA	NA
GO:1901363	heterocyclic compound binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.89767237042357e-05	NA	NA	NA
GO:0097159	organic cyclic compound binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.96503524437553e-05	NA	NA	NA
GO:0016874	ligase activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000105775530590956	0.000386646259879977	NA	NA
GO:0001071	nucleic acid binding transcription factor activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000144798890694181	NA	NA	NA
GO:0003700	transcription factor activity, sequence-specific DNA binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000144798890694181	NA	NA	NA
GO:0032182	ubiquitin-like protein binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000261134961093194	NA	NA	NA
GO:0019787	ubiquitin-like protein transferase activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000261134961093194	0.000397679111255928	NA	NA
GO:0004842	ubiquitin-protein transferase activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000325092254736905	0.000386646259879977	NA	NA
GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000364487288353727	NA	NA	NA
GO:0036402	proteasome-activating ATPase activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000416936050353378	NA	NA	NA
GO:0061631	ubiquitin conjugating enzyme activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00090481446454028	NA	NA	NA
GO:0061630	ubiquitin protein ligase activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000397679111255928	NA	NA
GO:0061659	ubiquitin-like protein ligase activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000397679111255928	NA	NA
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00058603871378899	NA	NA
