GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0005515	3.14635911549835e-26	43.9064657267866	92.8929538480053	146	10431	protein binding
GO:0005488	5.7665482409841e-10	28.7066037735849	124.026475720561	147	13927	binding
GO:0005200	5.12553255117722e-09	14.6140308191403	0.899452433961129	11	101	structural constituent of cytoskeleton
GO:0005198	1.10704931729629e-06	4.07033957458273	5.91323184307118	21	664	structural molecule activity
GO:0048365	5.35842641500261e-05	16.4195804195804	0.35621878572718	5	40	Rac GTPase binding
GO:0019905	0.000150712891375482	9.1150852483321	0.730248510740719	6	82	syntaxin binding
GO:0000149	0.00080000683618871	6.28463508322663	1.03303447860882	6	116	SNARE binding
GO:0017048	0.00080000683618871	7.74759024759025	0.70353210181118	5	79	Rho GTPase binding
GO:0051427	0.00080000683618871	5.02929386370645	1.49611890005415	7	168	hormone receptor binding
GO:0097110	0.00080000683618871	10.6124031007752	0.418557073229436	4	47	scaffold protein binding
