GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0044260	3.15108460560841e-10	2.04059652029826	208.361393323657	279	8184	cellular macromolecule metabolic process
GO:0000209	6.00911760815973e-10	5.90080943888051	5.3974358974359	27	212	protein polyubiquitination
GO:0044237	2.57454286482517e-09	2.04856550815869	256.021770682148	319	10056	cellular metabolic process
GO:0044257	6.38796943140802e-09	3.2449199318569	16.1159288824383	46	633	cellular protein catabolic process
GO:0090304	6.38796943140802e-09	1.90111166507216	125.337626995646	186	4923	nucleic acid metabolic process
GO:0051252	6.38796943140802e-09	1.97337704046601	92.1892235123367	148	3621	regulation of RNA metabolic process
GO:0043170	6.38796943140802e-09	1.9083243949238	225.419327527818	288	8854	macromolecule metabolic process
GO:0016070	6.38796943140802e-09	1.9113048735381	113.295234639574	172	4450	RNA metabolic process
GO:0031323	6.38796943140802e-09	1.86536371209145	147.181966618287	209	5781	regulation of cellular metabolic process
GO:0006511	1.09016024448904e-08	3.35569825959321	13.824564586357	41	543	ubiquitin-dependent protein catabolic process
GO:0019219	1.25244527783067e-08	1.9147186450168	99.6743468795356	155	3915	regulation of nucleobase-containing compound metabolic process
GO:0019941	1.26180832653815e-08	3.31478968089515	13.9773222060958	41	549	modification-dependent protein catabolic process
GO:0051171	1.30404176841056e-08	1.89018439896078	106.930333817126	163	4200	regulation of nitrogen compound metabolic process
GO:0030163	1.47281313109363e-08	2.88585899103652	19.57843492985	50	769	protein catabolic process
GO:0043632	1.47281313109363e-08	3.26172480620155	14.1809990324141	41	557	modification-dependent macromolecule catabolic process
GO:0051603	1.47281313109363e-08	3.15979308390023	15.3521407837446	43	603	proteolysis involved in cellular protein catabolic process
GO:0010498	1.66126520405692e-08	3.54624505928854	11.4568214804064	36	450	proteasomal protein catabolic process
GO:0043161	4.88894645133337e-08	3.52384907451353	10.8457910014514	34	426	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0080090	5.25786340529107e-08	1.7836266497751	144.992440735365	202	5695	regulation of primary metabolic process
GO:0097659	5.25786340529107e-08	1.87097571831265	92.8766328011611	144	3648	nucleic acid-templated transcription
GO:0046483	5.94117621725155e-08	1.7775078513152	144.4068698597	201	5672	heterocycle metabolic process
GO:0006351	6.58323339157369e-08	1.86147006728237	92.4692791485244	143	3632	transcription, DNA-templated
GO:0031329	6.58323339157369e-08	3.03627105739031	15.1230043541364	41	594	regulation of cellular catabolic process
GO:0010467	7.49840189296949e-08	1.77804631496847	131.982583454282	187	5184	gene expression
GO:0006139	9.90912443102398e-08	1.76066538654199	139.900520077407	195	5495	nucleobase-containing compound metabolic process
GO:0010468	1.33881998889749e-07	1.80148604515181	105.020863570392	156	4125	regulation of gene expression
GO:0060255	1.44470668427051e-07	1.74348443838575	144.38141025641	199	5671	regulation of macromolecule metabolic process
GO:0009057	1.7462377000556e-07	2.36592902094295	28.9730285437833	61	1138	macromolecule catabolic process
GO:0006725	1.7462377000556e-07	1.73530845474733	144.814223512337	199	5688	cellular aromatic compound metabolic process
GO:0034641	1.83732894561594e-07	1.72487914019737	160.140904692791	215	6290	cellular nitrogen compound metabolic process
GO:1903506	1.89162772314126e-07	1.82642215036581	89.2104499274311	137	3504	regulation of nucleic acid-templated transcription
GO:0016567	2.19915543129198e-07	2.71241447183429	18.483671988389	45	726	protein ubiquitination
GO:0006355	2.28302467103972e-07	1.81969020520237	88.7012578616352	136	3484	regulation of transcription, DNA-templated
GO:0044265	2.31020207257843e-07	2.50896016544763	23.1427793904209	52	909	cellular macromolecule catabolic process
GO:2001141	2.40812395991441e-07	1.81278874902797	89.7196419932269	137	3524	regulation of RNA biosynthetic process
