Modulo	Tamanho	DEG-Media	Inicio	Fim
1	79	0.4124942021596779	1	79
2	54	0.5461126956192255	80	133
3	50	0.7692499940013472	134	183
4	264	2.906507344712171	184	447
5	137	1.0760646213440588	448	584
6	59	0.3657944946232762	585	643
7	182	1.8120977366901327	644	825
8	72	1.2816064965566663	826	897
9	292	2.8557272707358607	898	1189
10	411	2.4621848107519617	1190	1600
11	95	1.0054975470309429	1601	1695
12	192	1.9329587034566718	1696	1887
13	116	1.0284381538025984	1888	2003
14	152	1.315077868980962	2004	2155
15	54	0.13082181541581311	2156	2209
16	54	0.16755897543291062	2210	2263
17	51	1.1693822690114029	2264	2314
18	50	0.4618436245902273	2315	2364
19	77	0.6621578914770252	2365	2441
20	299	1.5335132321147302	2442	2740
21	50	0.20866723906274554	2741	2790
22	67	0.4968302935137573	2791	2857
23	475	1.9999183881269136	2858	3332
24	431	3.8497908964904672	3333	3763
25	265	2.066749744233829	3764	4028
26	275	3.23451838596815	4029	4303
