index	statistic	pvalue	gene
931	-13.6610252098166	0	CASP7
932	-13.6147187598722	0	APOL1
884	-13.3959850475511	0	CDKN1B
882	-13.3938753304491	0	IL11
896	-13.3825079405206	0	CCDC130
929	-13.3638040101552	0	CARD10
930	-13.3518726386199	0	JMJD7
928	-13.3502276393306	0	FOXJ2
972	-13.3435712717987	0	BUD13
883	-13.3413873221972	0	FAM129A
927	-13.3386119112729	0	ANXA1
973	-13.3015190652513	0	FXYD6
921	-13.2359574090268	0	INTS3
926	-13.2185216352867	0	ZNF85
865	-13.2148013309801	0	PPP3R2
864	-13.2143287791443	0	AP3M1
922	-13.2133724659601	0	C10orf12
925	-13.2033489993856	0	ASCC1
863	-13.1783859855534	0	NUP35
920	-13.1773105966815	0	AURKAIP1
894	-13.1753404120586	0	INPP5K
895	-13.1690480778615	0	KIAA0141
881	-13.1660396606806	0	STAC2
862	-13.1658674831889	0	C16orf70
975	-13.1650650337644	0	LOC729603
974	-13.1649650294339	0	PLK2
880	-13.163242018731	0	ABLIM1
919	-13.160228168636	0	RAB14
918	-13.1589958546734	0	FBXO11
889	-13.1575342018326	0	DNAJC4
923	-13.155025189348	0	RABL2A
924	-13.1493900359904	0	GMDS
976	-13.1473947891961	0	CTPS2
977	-13.1473127122129	0	FMNL1
861	-13.1461412999949	0	HYLS1
859	-13.1332051216699	0	DNTTIP1
860	-13.1316277916955	0	CRYGA
890	-13.1262989468763	0	CDC42EP4
876	-13.1248404276686	0	VEGFB
888	-13.1209943994657	0	ATP6V1B2
877	-13.1200384423103	0	BCL7B
878	-13.1194678091809	0	EIF1B
893	-13.1126161687328	0	EBNA1BP2
879	-13.1108255995797	0	WDR4
917	-13.1100455169327	0	LGALSL
887	-13.0987306186421	0	SEC31A
892	-13.0916879802513	0	NME5
891	-13.091547176996	0	THEM5
885	-13.0906651474677	0	KARS
980	-13.0787023090463	0	CCAR2
979	-13.0760785766776	0	KLHDC4
886	-13.066944437091	0	HHIPL2
978	-13.0575569601411	0	APOL4
952	-13.0551289808889	0	TMEM123
870	-13.0249170913693	0	ERAL1
898	-13.0246597648805	0	PIKFYVE
954	-13.0172536344472	0	WDR83
953	-13.0123654305611	0	LRSAM1
981	-13.0053512393869	0	SH2D1B
871	-12.9937616109543	0	MTG1
872	-12.9931842744363	0	MARCH10
951	-12.9904964688556	0	GNG12
897	-12.9826108637851	0	FAM120C
1006	-12.9796620471531	0	DLX2
982	-12.9652069507085	0	GAL3ST2
1007	-12.9609409218865	0	CDK1
875	-12.9605915268749	0	CSNK1E
874	-12.9562374963278	0	LCORL
955	-12.93856114038	0	PDLIM3
899	-12.9354034189905	0	CDK8
965	-12.9320508917328	0	CDR1
971	-12.931680364993	0	MED7
1008	-12.9203293590704	0	AKR1C1
983	-12.9115341964521	0	CBY1
869	-12.8962648857732	0	FCRL2
873	-12.8876348922791	0	JADE1
970	-12.8848972469177	0	FAM81B
998	-12.8805851682595	0	PIP4K2B
964	-12.8783365263395	0	IMP4
966	-12.8746306255057	0	PKIG
967	-12.867124027497	0	NMB
1009	-12.8643725173059	0	ARMC8
968	-12.860321873253	0	ZNF750
969	-12.8544106693411	0	PRDM10
957	-12.8047260516517	0	GOLGA2P11
958	-12.7933893248886	0	LYRM2
867	-12.7864107081123	0	C8orf48
959	-12.7751986868954	0	CASP2
984	-12.7477765421828	0	SCGB2A2
866	-12.7433075344274	0	LPAL2
868	-12.7317215206312	0	MYRIP
961	-12.7298151141473	0	ANAPC13
962	-12.728506653832	0	C6orf54
960	-12.7248905820804	0	HDHD2
997	-12.7248630660434	0	BABAM1
963	-12.7195701075237	0	RAI2
948	-12.716948691404	0	EIF5B
996	-12.7067464341482	0	ANKRD36B
1002	-12.6980382912805	0	C1orf111
956	-12.6931162801548	0	COPE
949	-12.6695092473343	0	CIR1
950	-12.6559886829754	0	MTMR7
988	-12.650971125082	0	PAK6
857	-12.6493556748521	0	AZIN1
986	-12.6470531825886	0	NEUROG1
858	-12.6457987443517	0	GAS7
985	-12.6453177905869	0	GNGT1
946	-12.6421173439303	0	ARPC4
989	-12.6415416953111	0	BEGAIN
987	-12.6387854911336	0	GDNF
947	-12.6374546072545	0	CYTH2
1003	-12.6264609205243	0	TRIM72
916	-12.6203947951083	0	HMGB3
905	-12.6201775567494	0	KLK4
994	-12.6025189078316	0	TTBK2
900	-12.6018211039507	0	ARL4D
995	-12.5812419959977	0	STAR
906	-12.5763464317256	0	SLC6A12
856	-12.5561394739747	0	FAM9C
1001	-12.5540284825496	0	ZNF550
903	-12.5528015788321	0	AFAP1L1
904	-12.5515049165519	0	JUP
990	-12.5410812936866	0	AP4B1
991	-12.5410307157836	0	CXCL11
992	-12.5405474449299	0	GABPB2
902	-12.5333910541618	0	CTNND1
993	-12.5288674176653	0	LRCH3
901	-12.5165576811268	0	CLASP1
915	-12.4841928232105	0	HM13
851	-12.4713851157227	0	FAM72A
853	-12.4555490833887	0	KIR3DX1
909	-12.4533126694589	0	FAM49B
1004	-12.448166405597	0	DHX32
855	-12.4479563440917	0	DBF4B
1030	-12.4475302374911	0	MAGEB2
908	-12.443842672456	0	HMMR
1031	-12.4375769049253	0	CRK
1032	-12.4361585990549	0	KIAA1143
854	-12.4360275324955	0	TDRD1
852	-12.4331366832298	0	PLEKHG2
910	-12.4221112394264	0	ORC5
907	-12.4057252336077	0	HCLS1
1005	-12.3934234005628	0	PCED1B
911	-12.3829317706179	0	DUSP26
999	-12.3698919734864	0	MORN2
1000	-12.3588826962288	0	OSBP2
913	-12.3567381602053	0	BCAP31
914	-12.3559477845988	0	BMX
912	-12.353540614176	0	KIAA0408
849	-12.3429972765006	0	FABP1
850	-12.3349299681246	0	CLIC3
828	-12.3120764466673	0	ETF1
837	-12.2892516492591	0	MAP3K3
838	-12.2890204286073	0	NUCB1
829	-12.2743517164631	0	NADSYN1
836	-12.2692820080944	0	IQCF2
1051	-12.2657340291803	0	MPP2
830	-12.2550457157998	0	CMTM6
848	-12.2495180384201	0	METTL15
1034	-12.2480088190488	0	GATC
1052	-12.2448324731606	0	ANKRD54
1033	-12.2344636895563	0	CCDC108
1011	-12.2003725380255	0	CDCP1
1012	-12.1811916734824	0	ANKRD26P1
944	-12.1744855529063	0	GORASP1
938	-12.167369136186	0	FOXR2
937	-12.165400651403	0	MRPL45
839	-12.1651524049435	0	DOCK10
943	-12.1645395323199	0	AHNAK
942	-12.1644746229963	0	DAPK2
1019	-12.164141053401	0	RSL24D1
1035	-12.1609314401096	0	EIF4EBP3
939	-12.1599076468464	0	INMT
940	-12.1577729580005	0	FAM212A
941	-12.1577688010996	0	DUSP19
945	-12.150366001652	0	GSG1
1036	-12.1498344149779	0	HLA-DOA
834	-12.1222308520181	0	TRIM15
835	-12.1087137212505	0	ANKRA2
936	-12.0975806184278	0	GDAP2
1013	-12.0766156738307	0	CIART
935	-12.024359234372	0	GDI1
934	-12.0162024867897	0	PCID2
1010	-12.0129536654052	0	BLVRA
933	-12.0120739215077	0	CDRT4
1023	-12.0078878477128	0	LNPEP
1037	-12.0078633473984	0	MTMR14
1029	-12.0072434657525	0	LAMTOR4
1028	-12.0017480176218	0	BCAR3
1022	-12.0004224697597	0	HDC
1025	-11.9950020310556	0	ARHGDIA
833	-11.9878630659861	0	IQGAP1
1016	-11.9741724249481	0	FDXACB1
1026	-11.9676230966074	0	LYPLA1
1021	-11.9674904144849	0	CCDC64B
1024	-11.9667562359431	0	NADK
1027	-11.9666775906737	0	PDZD4
832	-11.9605066739345	0	C18orf54
831	-11.9493741164706	0	FUBP3
1048	-11.946767944581	0	CHMP4A
1050	-11.939706494151	0	FKBPL
1038	-11.9257596416426	0	AZIN2
1015	-11.9200900771345	0	CASP1
1049	-11.9165772628008	0	NUDT9P1
1042	-11.9065525524331	0	CA1
1039	-11.8960324485532	0	C2orf42
1018	-11.8893093282461	0	AGGF1
1017	-11.8889396241843	0	MOXD1
1040	-11.8653562391023	1.11022302462516e-16	NOL9
1041	-11.8622071186328	1.11022302462516e-16	BATF3
1020	-11.8427136037779	1.11022302462516e-16	HHLA3
1014	-11.8086678201903	1.11022302462516e-16	CYCS
1047	-11.7507338603244	1.11022302462516e-16	BCL2L11
1046	-11.7155551636384	2.22044604925031e-16	FAM167A
846	-11.7024915994771	1.11022302462516e-16	EPB41L3
847	-11.7020969442527	1.11022302462516e-16	MGRN1
845	-11.6931555518693	1.11022302462516e-16	SECISBP2L
827	-11.6830377271458	1.11022302462516e-16	RBMS1
826	-11.6457971455014	1.11022302462516e-16	CD40
840	-11.5655966388399	2.22044604925031e-16	PITPNM1
1043	-11.5371156665256	2.22044604925031e-16	WDR7
1044	-11.5321023012052	2.22044604925031e-16	MVB12B
1045	-11.4951150678967	2.22044604925031e-16	RPRD1A
844	-11.446149168749	2.22044604925031e-16	GOLPH3
841	-11.4310696591293	2.22044604925031e-16	L3MBTL4
843	-11.4134273474153	2.22044604925031e-16	ZMYM4
842	-11.4118350006344	2.22044604925031e-16	ZNF131
2117	-11.2315839058465	8.88178419700125e-15	ALS2CR11
2139	-11.1825657640464	1.3988810110277e-14	SPAG5
2140	-11.1787052832761	1.4210854715202e-14	CEP55
2132	-11.1753689867025	1.0547118733939e-14	KANSL1
2127	-11.1692719280727	1.0769163338864e-14	MAB21L2
2133	-11.1598110322411	1.11022302462516e-14	KIFC3
2135	-11.1586950415199	1.11022302462516e-14	RINT1
2131	-11.1562783202395	1.12132525487141e-14	HOOK2
2130	-11.1554650474563	1.12132525487141e-14	UTP14C
2126	-11.152722510774	1.13242748511766e-14	ARL4A
2134	-11.1496456121442	1.14352971536391e-14	ZNF655
2116	-11.1494271681146	1.14352971536391e-14	TBC1D22B
2129	-11.1400932812035	1.17683640610267e-14	CEP57L1
2128	-11.1324866371775	1.19904086659517e-14	C6orf165
2136	-11.1309770236976	1.21014309684142e-14	FAM110A
2141	-11.0854445476984	1.86517468137026e-14	C1orf109
2093	-11.0714314575835	1.4432899320127e-14	PKN1
2138	-11.0652644890544	1.98729921407903e-14	SNW1
2137	-11.0533991552413	2.06501482580279e-14	RSRC2
2142	-11.0530544554395	2.06501482580279e-14	TCL1A
2143	-11.0471151565116	2.09832151654155e-14	GNG5
2124	-11.0425556351342	1.57651669496772e-14	CCDC102B
2125	-11.0394543833791	1.59872115546023e-14	SPG21
2121	-11.0291567896227	1.64313007644523e-14	RCOR3
2144	-11.0235408077079	2.24265050974282e-14	TEAD4
2123	-11.0227035078519	1.68753899743024e-14	LIN37
2122	-11.0218834060054	1.68753899743024e-14	TRIM54
2094	-11.0126557881617	1.73194791841524e-14	PRAM1
2120	-10.9987160657212	1.80966353013901e-14	ANKRD36BP1
2118	-10.9847685794824	1.88737914186277e-14	CDR2
2119	-10.9809132551027	1.90958360235527e-14	WDYHV1
2095	-10.9805241081038	1.90958360235527e-14	ABI2
825	-10.9766120633369	1.11022302462516e-15	ACAT2
2085	-10.9725919346421	1.95399252334028e-14	KRT15
824	-10.9690587770908	1.11022302462516e-15	FBXL8
2084	-10.9674850292881	1.99840144432528e-14	CCDC67
2146	-10.9651391645477	2.68673971959288e-14	DAXX
2145	-10.9599604829205	2.73114864057789e-14	MOS
2086	-10.9419689891652	2.1538326677728e-14	HMG20B
2083	-10.9312212832134	2.22044604925031e-14	PSMB1
2115	-10.9310553273446	2.22044604925031e-14	PNMA5
2082	-10.9055989016746	2.39808173319034e-14	TCHP
