GO	Term	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
GO:0005515	protein binding	3.03593351918121e-15	1.17330617919008e-24	7.23690124386541e-31	8.7812250398425e-10	2.84756972935843e-08	4.43563514954651e-11	1.55430299917662e-115	2.10105385897433e-94	1.95138334218722e-10	4.53540603281446e-09	9.20433333718235e-15	7.19848522305e-21	5.1805236907663e-09	2.59051006377288e-06	3.75028416435597e-16	2.74390520283997e-17	2.256407035579e-07	4.29552779739909e-11	6.14442304394838e-44	5.31247070596769e-05	1.12960246177768e-09	7.98219675847235e-09	1.20096181708573e-42	9.92695306176816e-08	5.49194737399364e-28	1.13679224642411e-27	1.03642275916802e-20
GO:0005488	binding	3.58360884254155e-06	8.25870546765899e-12	3.25668393811144e-11	0.000124291836407918	NA	3.67712532794516e-05	4.35969042360963e-46	2.20960852436202e-36	0.000499744998163815	0.000143361695119899	5.41338911362925e-06	1.26702826434839e-07	0.000587092658877372	0.000261683129183326	1.66868954220019e-06	1.60963999594648e-08	NA	0.000291205193087644	1.0033150793889e-18	NA	0.000105801307520218	5.90715983188646e-05	1.73489192425229e-17	NA	4.92811843660172e-10	1.0081829843502e-10	7.33943558957027e-10
GO:0004332	fructose-bisphosphate aldolase activity	0.000440178345031729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0032795	heterotrimeric G-protein binding	0.000608615652056488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0005212	structural constituent of eye lens	0.000608615652056488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0046961	proton-transporting ATPase activity, rotational mechanism	0.000749017168715617	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups	0.000749017168715617	0.000132527176640382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0044769	ATPase activity, coupled to transmembrane movement of ions, rotational mechanism	0.000749017168715617	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0004364	glutathione transferase activity	0.000754679114158115	6.41388198342565e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0036442	hydrogen-exporting ATPase activity	0.000754679114158115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0042802	identical protein binding	NA	0.000116870701804623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000759986020795204	NA
GO:0030235	nitric-oxide synthase regulator activity	NA	0.0004290113442496	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0031492	nucleosomal DNA binding	NA	0.000494150268701926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0008934	inositol monophosphate 1-phosphatase activity	NA	0.000494150268701926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0031997	N-terminal myristoylation domain binding	NA	0.000494150268701926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0052832	inositol monophosphate 3-phosphatase activity	NA	0.000494150268701926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0052833	inositol monophosphate 4-phosphatase activity	NA	0.000494150268701926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0052834	inositol monophosphate phosphatase activity	NA	0.000494150268701926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
