GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0035556	3.41467170804195e-07	1.77525281878414	105.920174165457	164	2622	intracellular signal transduction
GO:0010467	9.82968516427651e-07	1.58247599728349	209.416545718433	277	5184	gene expression
GO:0008152	1.2092747512456e-06	1.67576633678046	470.258103531688	532	11641	metabolic process
GO:0034641	3.07193924329398e-06	1.52455765417124	254.095307208515	320	6290	cellular nitrogen compound metabolic process
GO:0044260	6.15178659741896e-06	1.50075691416043	330.606676342525	395	8184	cellular macromolecule metabolic process
GO:0051090	6.15178659741896e-06	2.80429598927222	14.6236090953072	37	362	regulation of sequence-specific DNA binding transcription factor activity
GO:0044271	6.87372852345868e-06	1.5219553266519	190.066521528786	249	4705	cellular nitrogen compound biosynthetic process
GO:0009893	6.87372852345868e-06	1.56954054464063	140.418964683116	194	3476	positive regulation of metabolic process
GO:0006807	6.87372852345868e-06	1.48601749207483	266.537493952588	329	6598	nitrogen compound metabolic process
GO:0007049	7.97689157991164e-06	1.7522198117424	68.5936139332366	109	1698	cell cycle
GO:0043280	7.97689157991164e-06	4.35325755153066	5.04958877600387	19	125	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process
GO:2000116	7.97689157991164e-06	3.34176094441712	8.72568940493469	26	216	regulation of cysteine-type endopeptidase activity
GO:0044238	7.97689157991164e-06	1.50350175344776	405.784954039671	465	10045	primary metabolic process
GO:1903047	7.97689157991164e-06	2.06076329623814	33.933236574746	64	840	mitotic cell cycle process
GO:0006725	7.97689157991164e-06	1.47859933017988	229.77648766328	289	5688	cellular aromatic compound metabolic process
GO:0043281	7.97689157991164e-06	3.40777778743147	8.24092888243832	25	204	regulation of cysteine-type endopeptidase activity involved in apoptotic process
GO:0000278	7.97689157991164e-06	1.95725777490483	40.7602805999032	73	1009	mitotic cell cycle
GO:0044237	7.97689157991164e-06	1.49915021934048	406.229317851959	465	10056	cellular metabolic process
GO:0006139	8.98151010469556e-06	1.47415761433612	221.97992259313	280	5495	nucleobase-containing compound metabolic process
GO:0065009	8.98151010469556e-06	1.59045453511903	110.888969521045	158	2745	regulation of molecular function
GO:1902589	8.98151010469556e-06	1.61657594805952	99.6990807934204	145	2468	single-organism organelle organization
GO:0031325	9.14607276310678e-06	1.57617216028044	114.767053701016	162	2841	positive regulation of cellular metabolic process
GO:0043170	9.14607276310678e-06	1.4632601512877	357.672472181906	417	8854	macromolecule metabolic process
GO:0071704	9.14607276310678e-06	1.49491320672122	419.115868408321	476	10375	organic substance metabolic process
GO:0044093	9.14607276310678e-06	1.70680895133773	71.5021770682148	111	1770	positive regulation of molecular function
GO:0045862	9.14607276310678e-06	2.65266319505393	14.5024189646831	35	359	positive regulation of proteolysis
GO:0010564	9.49427130045315e-06	2.30158688831899	21.8142235123367	46	540	regulation of cell cycle process
GO:0090304	1.11702221541737e-05	1.4715964998867	198.873004354136	254	4923	nucleic acid metabolic process
GO:0046483	1.11702221541737e-05	1.45707020139473	229.130140299952	286	5672	heterocycle metabolic process
GO:2001056	1.16789700937269e-05	3.97545295149036	5.45355587808418	19	135	positive regulation of cysteine-type endopeptidase activity
GO:0019222	1.23029764194808e-05	1.44341372482107	265.244799225931	323	6566	regulation of metabolic process
GO:0051171	1.23029764194808e-05	1.48776792538333	169.66618287373	222	4200	regulation of nitrogen compound metabolic process
GO:0031323	1.24345761477526e-05	1.4498616784175	233.533381712627	290	5781	regulation of cellular metabolic process
GO:0080090	1.38812525563075e-05	1.44769092427881	230.059264634736	286	5695	regulation of primary metabolic process
GO:1901990	1.43206762808379e-05	2.91039893617021	10.6243347847121	28	263	regulation of mitotic cell cycle phase transition
GO:0010604	1.80638031938817e-05	1.5500147236977	112.383647798742	157	2782	positive regulation of macromolecule metabolic process
GO:0051091	1.80638031938817e-05	3.07703787486058	9.0084663763909	25	223	positive regulation of sequence-specific DNA binding transcription factor activity
GO:0060255	1.80638031938817e-05	1.43894058226595	229.089743589744	284	5671	regulation of macromolecule metabolic process
GO:1901987	1.97332924473295e-05	2.77871060787382	11.4726656990808	29	284	regulation of cell cycle phase transition
GO:2000112	2.14380126229897e-05	1.48236618711465	154.032656023222	203	3813	regulation of cellular macromolecule biosynthetic process
