Modulo	Tamanho	DEG-Media	Inicio	Fim
1	113	2.140917177647289	1	113
2	202	3.252762988945514	114	315
3	273	5.957625991063708	316	588
4	58	0.6378032684955117	589	646
5	69	1.1072670486315384	647	715
6	75	2.46028351244678	716	790
7	810	7.0853968669553105	791	1600
8	555	6.885560926423866	1601	2155
9	57	0.20314950929298278	2156	2212
10	51	0.39481105554329116	2213	2263
11	87	1.3597360044708575	2264	2350
12	130	2.211961615845705	2351	2480
13	58	0.48478979897380564	2481	2538
14	66	1.305565454164981	2539	2604
15	83	1.2589518556977672	2605	2687
16	115	3.129071884976751	2688	2802
17	51	0.5666891012540745	2803	2853
18	77	1.5140445952083688	2854	2930
19	336	4.691638695588318	2931	3266
20	50	0.9677251347683626	3267	3316
21	54	0.4386484244743888	3317	3370
22	56	1.2184555617166541	3371	3426
23	325	2.834335855185422	3427	3751
24	54	1.2033042213307557	3752	3805
25	228	2.458138064950192	3806	4033
26	142	2.0885572958076626	4034	4175
27	128	2.6611023379161782	4176	4303
