GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0000209	6.23998579545929e-10	6.09075986981746	5.24358974358974	27	212	protein polyubiquitination
GO:0044260	1.43473472986678e-09	1.99352765995849	202.422351233672	269	8184	cellular macromolecule metabolic process
GO:0044257	1.36558037293454e-08	3.26705819690514	15.6565674891147	45	633	cellular protein catabolic process
GO:0044237	1.46074506828709e-08	1.99556750915141	248.724238026125	308	10056	cellular metabolic process
GO:0006511	3.17652768090904e-08	3.36711438684963	13.4305152394775	40	543	ubiquitin-dependent protein catabolic process
GO:0019941	3.17652768090904e-08	3.3261456386666	13.5789187227866	40	549	modification-dependent protein catabolic process
GO:0030163	3.17652768090904e-08	2.9125887345679	19.0203797774553	49	769	protein catabolic process
GO:0043170	3.17652768090904e-08	1.86850041301128	218.994073536526	278	8854	macromolecule metabolic process
GO:0051603	3.17652768090904e-08	3.17539232685891	14.9145500725689	42	603	proteolysis involved in cellular protein catabolic process
GO:0043632	3.17652768090904e-08	3.27299984798687	13.7767900338655	40	557	modification-dependent macromolecule catabolic process
GO:0031323	3.17652768090904e-08	1.82653277502068	142.98675616836	201	5781	regulation of cellular metabolic process
GO:0090304	3.17652768090904e-08	1.84837628125299	121.765058055152	178	4923	nucleic acid metabolic process
GO:0010498	3.71334515878585e-08	3.54307067843567	11.1302612481858	35	450	proteasomal protein catabolic process
GO:0051252	3.71977575182134e-08	1.91202071538857	89.5615021770682	141	3621	regulation of RNA metabolic process
GO:0016070	4.72497019937273e-08	1.84932814002876	110.065916787615	164	4450	RNA metabolic process
GO:0019219	7.917579374424e-08	1.8605616225601	96.8332728592163	148	3915	regulation of nucleobase-containing compound metabolic process
GO:0051171	7.917579374424e-08	1.84233119480184	103.882438316401	156	4200	regulation of nitrogen compound metabolic process
GO:0043161	8.70074361909214e-08	3.51376482052948	10.5366473149492	33	426	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0031329	1.10555909789947e-07	3.04716621173432	14.6919448476052	40	594	regulation of cellular catabolic process
GO:0016567	1.49349641761513e-07	2.80401316744929	17.9568214804064	45	726	protein ubiquitination
GO:0009057	2.00623006012358e-07	2.40001913763682	28.1471940009676	60	1138	macromolecule catabolic process
GO:0080090	2.81180716273606e-07	1.74297611850699	140.859639574262	194	5695	regulation of primary metabolic process
GO:0046483	3.31330204286089e-07	1.73648205606592	140.29075955491	193	5672	heterocycle metabolic process
GO:0044265	3.31330204286089e-07	2.53518967066453	22.4831277213353	51	909	cellular macromolecule catabolic process
GO:0010467	5.53611017149658e-07	1.72943404421665	128.2206095791	179	5184	gene expression
GO:0032446	5.87129312585987e-07	2.57888116186487	20.281809385583	47	820	protein modification by small protein conjugation
GO:0006139	6.00573481479295e-07	1.71689935979687	135.912856797291	187	5495	nucleobase-containing compound metabolic process
GO:0097659	7.03611678472559e-07	1.78940649327893	90.2293178519594	136	3648	nucleic acid-templated transcription
GO:0009894	7.1311771492239e-07	2.70326351477838	17.2395379777455	42	697	regulation of catabolic process
GO:0060255	7.71152537765095e-07	1.70225088729659	140.266025641026	191	5671	regulation of macromolecule metabolic process
GO:0034641	7.9588051479409e-07	1.69202923909027	155.576318335752	207	6290	cellular nitrogen compound metabolic process
GO:0010468	7.9588051479409e-07	1.75137265903111	102.027394775036	149	4125	regulation of gene expression
GO:0006351	8.24960229009019e-07	1.77947103774038	89.8335752298016	135	3632	transcription, DNA-templated
GO:0044238	8.42731739828629e-07	1.75728822081546	248.452164973391	298	10045	primary metabolic process
GO:0006725	8.42731739828629e-07	1.69427694505594	140.686502177068	191	5688	cellular aromatic compound metabolic process
GO:0042787	8.88709513784101e-07	5.00443655723159	4.08109579100145	18	165	protein ubiquitination involved in ubiquitin-dependent protein catabolic process
GO:0019222	1.19017912535292e-06	1.67192584573574	162.402878567973	213	6566	regulation of metabolic process
GO:1903506	1.58202588209448e-06	1.76119089049085	86.6676342525399	130	3504	regulation of nucleic acid-templated transcription
GO:1901360	1.74616696586036e-06	1.66372171247312	145.979559748428	195	5902	organic cyclic compound metabolic process
GO:0071704	1.74616696586036e-06	1.74099512508807	256.614356555394	304	10375	organic substance metabolic process
GO:0006355	1.88050968129809e-06	1.75387268469236	86.1729559748428	129	3484	regulation of transcription, DNA-templated
GO:0009896	1.93638293326685e-06	3.33190591544893	8.95367682631834	27	362	positive regulation of catabolic process
GO:2001141	1.94435418637469e-06	1.74806690279916	87.1623125302371	130	3524	regulation of RNA biosynthetic process
GO:0042590	2.51143289272809e-06	7.24538516485582	1.95397919690373	12	79	antigen processing and presentation of exogenous peptide antigen via MHC class I
GO:0006807	2.51143289272809e-06	1.64151276348484	163.194363812288	212	6598	nitrogen compound metabolic process
GO:1903362	2.57374737725668e-06	3.44638377926421	8.01378809869376	25	324	regulation of cellular protein catabolic process
GO:2000058	2.71298958139924e-06	6.42353412170485	2.34972181906144	13	95	regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process
GO:0008152	2.71298958139924e-06	1.80737151148292	287.927491533624	331	11641	metabolic process
GO:0070647	2.71298958139924e-06	2.33025280898876	23.225145137881	49	939	protein modification by small protein conjugation or removal
GO:1903050	2.81644148070317e-06	3.51531173452882	7.54384373488147	24	305	regulation of proteolysis involved in cellular protein catabolic process
GO:0032774	2.86152920607478e-06	1.71200024184894	93.2715892597968	136	3771	RNA biosynthetic process
GO:0044248	4.68675823506834e-06	1.91863068922879	46.2029511369134	79	1868	cellular catabolic process
GO:2000112	5.24235224577624e-06	1.68675490949084	94.3104136429608	136	3813	regulation of cellular macromolecule biosynthetic process
GO:2000060	5.32798769155624e-06	6.55715161004834	2.12711659409773	12	86	positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process
GO:0002474	5.3782824550026e-06	5.91573033707865	2.52285921625544	13	102	antigen processing and presentation of peptide antigen via MHC class I
GO:0048523	5.3782824550026e-06	1.67014174090689	100.667029511369	143	4070	negative regulation of cellular process
GO:0051437	5.57479762928661e-06	7.27926517835077	1.78084179970972	11	72	positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition
GO:0051253	5.86789888827195e-06	2.0893616516374	31.2389332365747	59	1263	negative regulation of RNA metabolic process
GO:0002479	8.16742803047269e-06	6.93675408291457	1.8550435413643	11	75	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent
GO:0031331	8.34280400024325e-06	3.34798625656855	7.54384373488147	23	305	positive regulation of cellular catabolic process
GO:0070936	9.78713596270715e-06	9.0489375	1.21196178035801	9	49	protein K48-linked ubiquitination
GO:0045934	1.06447598360548e-05	2.00592099944723	34.1575350749879	62	1381	negative regulation of nucleobase-containing compound metabolic process
GO:0010556	1.23422489824196e-05	1.64407351385821	96.9322085147557	137	3919	regulation of macromolecule biosynthetic process
GO:0051443	1.4701400371515e-05	5.77293990644117	2.3744557329463	12	96	positive regulation of ubiquitin-protein transferase activity
GO:1903321	1.48480379513923e-05	4.5438101371316	3.68535316884374	15	149	negative regulation of protein modification by small protein conjugation or removal
GO:0006977	1.54816057729748e-05	7.19253490870032	1.63243831640058	10	66	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest
GO:0031324	1.54816057729748e-05	1.77480202032799	56.9374697629415	90	2302	negative regulation of cellular metabolic process
GO:0002478	1.6456485520715e-05	4.222728925019	4.20476536042574	16	170	antigen processing and presentation of exogenous peptide antigen
GO:0045732	1.6456485520715e-05	3.50717698070324	6.25768021286889	20	253	positive regulation of protein catabolic process
GO:1902679	1.6532264024646e-05	2.03363992319475	30.2495766811805	56	1223	negative regulation of RNA biosynthetic process
GO:0072431	1.6532264024646e-05	7.06591039001011	1.65717223028544	10	67	signal transduction involved in mitotic G1 DNA damage checkpoint
GO:1902400	1.6532264024646e-05	7.06591039001011	1.65717223028544	10	67	intracellular signal transduction involved in G1 DNA damage checkpoint
GO:0042176	1.6855620898539e-05	2.78927815182522	10.9323899371069	28	442	regulation of protein catabolic process
GO:0009889	1.93011237622217e-05	1.61131980826066	102.497339138849	142	4144	regulation of biosynthetic process
GO:0051172	2.00235202852587e-05	1.92725784000655	36.6061925495888	64	1480	negative regulation of nitrogen compound metabolic process
GO:0072413	2.00235202852587e-05	6.825538422327	1.70664005805515	10	69	signal transduction involved in mitotic cell cycle checkpoint
GO:1902402	2.00235202852587e-05	6.825538422327	1.70664005805515	10	69	signal transduction involved in mitotic DNA damage checkpoint
GO:1902403	2.00235202852587e-05	6.825538422327	1.70664005805515	10	69	signal transduction involved in mitotic DNA integrity checkpoint
GO:0051351	2.03363556553157e-05	5.44691931055953	2.49812530237059	12	101	positive regulation of ligase activity
GO:0002429	2.31915430470101e-05	3.07049670047763	8.1621915820029	23	330	immune response-activating cell surface receptor signaling pathway
GO:0019884	2.31915430470101e-05	4.03736190792281	4.37790275761974	16	177	antigen processing and presentation of exogenous antigen
GO:0031397	2.41618393728435e-05	4.53727594936709	3.43801402999516	14	139	negative regulation of protein ubiquitination
GO:0072401	2.41618393728435e-05	6.60092855088541	1.75610788582487	10	71	signal transduction involved in DNA integrity checkpoint
GO:0072422	2.41618393728435e-05	6.60092855088541	1.75610788582487	10	71	signal transduction involved in DNA damage checkpoint
GO:0031326	2.48133836409378e-05	1.59905748939206	101.409046927915	140	4100	regulation of cellular biosynthetic process
GO:0044403	2.6201094185899e-05	2.20998771439749	20.6775520077407	42	836	symbiosis, encompassing mutualism through parasitism
GO:0044419	2.6201094185899e-05	2.20998771439749	20.6775520077407	42	836	interspecies interaction between organisms
GO:0072395	2.6201094185899e-05	6.49405772495756	1.78084179970972	10	72	signal transduction involved in cell cycle checkpoint
GO:0071158	2.65325031186167e-05	5.76094759511845	2.17658442186744	11	88	positive regulation of cell cycle arrest
GO:0019882	2.80660055359637e-05	3.57552242530098	5.51566279632317	18	223	antigen processing and presentation
GO:0018130	2.838429267925e-05	1.58631052152675	104.500786163522	143	4225	heterocycle biosynthetic process
GO:1903364	2.90637341212831e-05	3.91452834237714	4.50157232704403	16	182	positive regulation of cellular protein catabolic process
GO:0034654	3.01410817080318e-05	1.5860856286157	102.843613933237	141	4158	nucleobase-containing compound biosynthetic process
GO:0051436	3.11187188053549e-05	5.61440111952166	2.22605224963716	11	90	negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle
GO:0000045	3.11187188053549e-05	6.29033521303258	1.83030962747944	10	74	autophagosome assembly
GO:1901575	3.59242723030062e-05	1.80956280677666	43.9026971456217	72	1775	organic substance catabolic process
GO:1903507	3.60772866594537e-05	1.97364219981937	29.8785679729076	54	1208	negative regulation of nucleic acid-templated transcription
GO:0031145	3.60772866594537e-05	4.99519592822457	2.69599661344944	12	109	anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process
GO:0031571	3.79702737236042e-05	6.09895952001215	1.87977745524915	10	76	mitotic G1 DNA damage checkpoint
GO:0042770	4.01340127553373e-05	4.53115203761755	3.19067489114659	13	129	signal transduction in response to DNA damage
GO:0048519	4.01340127553373e-05	1.56196155623457	109.051826318336	147	4409	negative regulation of biological process
GO:0071345	4.01340127553373e-05	2.29441197909588	16.992198838897	36	687	cellular response to cytokine stimulus
GO:0019221	4.01340127553373e-05	2.46142144892145	13.6283865505564	31	551	cytokine-mediated signaling pathway
GO:0044783	4.01340127553373e-05	6.00755620394269	1.90451136913401	10	77	G1 DNA damage checkpoint
GO:0044819	4.01340127553373e-05	6.00755620394269	1.90451136913401	10	77	mitotic G1/S transition checkpoint
GO:0009056	4.01340127553373e-05	1.7230361912045	54.8103531688437	85	2216	catabolic process
GO:0034645	4.08652630943772e-05	1.54751274744794	118.376511852927	157	4786	cellular macromolecule biosynthetic process
GO:0019438	4.08652630943772e-05	1.56623386618	104.624455732946	142	4230	aromatic compound biosynthetic process
GO:1903052	4.08652630943772e-05	3.94876063023271	4.18003144654088	15	169	positive regulation of proteolysis involved in cellular protein catabolic process
GO:0048002	4.1623271636243e-05	3.732678190167	4.69944363812288	16	190	antigen processing and presentation of peptide antigen
GO:1901362	4.55113949964013e-05	1.55670921050736	107.617259313014	145	4351	organic cyclic compound biosynthetic process
GO:0010605	4.68736817843141e-05	1.70233291812995	56.7890662796323	87	2296	negative regulation of macromolecule metabolic process
GO:0051444	5.32320553363989e-05	5.15516536169218	2.39918964683116	11	97	negative regulation of ubiquitin-protein transferase activity
GO:0007265	5.71764304646037e-05	2.4386816755398	13.2821117561684	30	537	Ras protein signal transduction
GO:0051352	5.76330169021938e-05	5.09559290706406	2.42392356071601	11	98	negative regulation of ligase activity
GO:0051439	6.28746999153823e-05	5.0373743718593	2.44865747460087	11	99	regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle
GO:0007173	6.93118809204244e-05	2.77503171473551	8.95367682631834	23	362	epidermal growth factor receptor signaling pathway
GO:0045787	7.12840566934567e-05	2.92489708314275	7.76644895984519	21	314	positive regulation of cell cycle
GO:0038061	7.33910321305423e-05	4.9248185371301	2.49812530237059	11	101	NIK/NF-kappaB signaling
GO:0016032	7.33910321305423e-05	2.15724868271135	19.0203797774553	38	769	viral process
GO:0044271	8.28060538527165e-05	1.51974321040202	116.373064828254	153	4705	cellular nitrogen compound biosynthetic process
GO:0002223	8.29344907922294e-05	4.44193839114459	2.99280358006773	12	121	stimulatory C-type lectin receptor signaling pathway
GO:0038127	8.86170312796792e-05	2.71768396777382	9.12681422351234	23	369	ERBB signaling pathway
GO:0010629	8.9000796016078e-05	1.8154585559333	36.6309264634736	61	1481	negative regulation of gene expression
GO:0033238	8.95735117726155e-05	5.29316712834718	2.12711659409773	10	86	regulation of cellular amine metabolic process
GO:0010558	9.91383576086289e-05	1.83240431066518	34.4296081277213	58	1392	negative regulation of macromolecule biosynthetic process
GO:0044764	9.91383576086289e-05	2.11776512187346	19.3419206579584	38	782	multi-organism cellular process
GO:0002220	0.000100637068158095	4.3221482547679	3.0670053217223	12	124	innate immune response activating cell surface receptor signaling pathway
GO:0002757	0.000101492078151147	2.46235602094241	11.7980769230769	27	477	immune response-activating signal transduction
GO:0007033	0.000101595185331594	4.00855887115429	3.56168359941945	13	144	vacuole organization
GO:0045892	0.000101595185331594	1.90151146146047	29.0623488147073	51	1175	negative regulation of transcription, DNA-templated
GO:0043484	0.000114060698161694	5.09120903524634	2.2013183357523	10	89	regulation of RNA splicing
GO:0009059	0.000128980116744084	1.49340738259842	122.185534591195	158	4940	macromolecule biosynthetic process
GO:0042059	0.000131887928238946	7.78309839690437	1.06355829704886	7	43	negative regulation of epidermal growth factor receptor signaling pathway
GO:1901185	0.000152402756666798	7.57227376630362	1.08829221093372	7	44	negative regulation of ERBB signaling pathway
GO:0071156	0.000154524684081321	4.42957286432161	2.74546444121916	11	111	regulation of cell cycle arrest
GO:0031327	0.000164306960380113	1.78021095750128	35.9631107885825	59	1454	negative regulation of cellular biosynthetic process
