GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0005515	1.59552714834091e-58	11.8168739043951	278.678861544016	422	10431	protein binding
GO:0005488	1.89041763723966e-23	10.8426358312949	372.079427161682	436	13927	binding
GO:1901363	4.50311045780772e-05	1.5279868841017	155.302485107407	199	5813	heterocyclic compound binding
GO:0003676	5.18789769926853e-05	1.56638903531892	105.209218364523	144	3938	nucleic acid binding
GO:0097159	5.78036091593675e-05	1.49672895520247	157.332932186052	199	5889	organic cyclic compound binding
GO:0016874	5.78036091593675e-05	2.61377394248284	11.1674589325471	27	418	ligase activity
GO:0019787	0.000243971806543839	2.55977596311965	9.64462362356339	23	361	ubiquitin-like protein transferase activity
GO:0004842	0.00029563231636928	2.55853740847798	9.21716108069078	22	345	ubiquitin-protein transferase activity
GO:0036402	0.000594552084345058	36.671201814059	0.160298453577231	3	6	proteasome-activating ATPase activity
GO:0032182	0.000793776115879486	3.85920698924731	2.83193934653108	10	106	ubiquitin-like protein binding
GO:0043130	0.000793776115879486	4.1625	2.37776039472892	9	89	ubiquitin binding
GO:0001071	0.000793776115879486	1.70256612104925	31.3116312654191	50	1172	nucleic acid binding transcription factor activity
GO:0003700	0.000793776115879486	1.70256612104925	31.3116312654191	50	1172	transcription factor activity, sequence-specific DNA binding
GO:0061631	0.000843096438776658	7.99841537090225	0.748059450027077	5	28	ubiquitin conjugating enzyme activity
GO:0061650	0.000930190292591314	7.66467350037965	0.774775858956616	5	29	ubiquitin-like protein conjugating enzyme activity
