tempo;metrica;reorganizacoes;reorganizacoes_desfeitas;melhorias
3600;27924;29560;18341;9582
7200;72069;73705;53499;18569
10800;116007;117643;91096;24910
14400;159943;161579;130177;29765
18000;204111;205747;169958;34152
21600;248292;249928;210803;37488
25200;292469;294105;252272;40196
28800;336589;338225;294263;42325
32400;380702;382338;336554;44147
36000;424745;426381;377837;46907
39600;468763;470399;419587;49175
43200;512779;514415;461984;50794
46800;556899;558535;505057;51841
50400;600991;602627;547810;53180
54000;644999;646635;590203;54795
57600;688976;690612;632936;56039
61200;732946;734582;675345;57600
64800;776900;778536;718294;58605
68400;820882;822518;761741;59140
72000;864884;866520;804998;59885
75600;908837;910473;848592;60244
79200;952795;954431;892294;60500
82800;996759;998395;935718;61040
86400;1040707;1042343;978559;62147
90000;1084694;1086330;1021878;62815
93600;1128671;1130307;1065391;63279
97200;1172679;1174315;1109106;63572
100800;1216675;1218311;1152910;63764
104400;1260651;1262287;1196690;63960
108000;1304638;1306274;1240444;64193
111600;1348634;1350270;1284198;64435
115200;1392637;1394273;1327949;64687
118800;1436635;1438271;1371476;65158
122400;1480679;1482315;1414386;66292
126000;1524694;1526330;1457419;67274
129600;1568692;1570328;1500666;68025
133200;1612680;1614316;1544073;68606
136800;1656671;1658307;1587751;68919
140400;1700665;1702301;1631528;69136
144000;1744652;1746288;1675283;69368
147600;1788625;1790261;1718913;69711
151200;1832575;1834211;1762234;70340
154800;1876536;1878172;1805339;71196
158400;1920517;1922153;1848092;72424
162000;1964511;1966147;1890570;73940
165600;2008606;2010242;1933089;75516
169200;2052712;2054348;1976035;76676
172800;2096860;2098496;2019528;77331
176400;2141013;2142649;2063231;77781
180000;2185141;2186777;2106979;78161
183600;2229263;2230899;2150884;78378
187200;2273357;2274993;2194695;78661
190800;2317427;2319063;2238587;78839
194400;2361517;2363153;2282268;79248
198000;2405647;2407283;2325697;79949
201600;2449750;2451386;2368734;81015
205200;2493886;2495522;2412099;81786
208800;2537945;2539581;2455728;82216
212400;2582103;2583739;2499509;82593
216000;2626269;2627905;2543344;82924
219600;2670439;2672075;2587058;83380
223200;2714610;2716246;2630586;84023
226800;2758761;2760397;2674142;84618
230400;2802868;2804504;2717895;84972
234000;2846973;2848609;2761660;85312
237600;2891097;2892733;2805571;85525
241200;2935208;2936844;2849322;85885
244800;2979316;2980952;2893206;86109
248400;3023437;3025073;2937008;86428
252000;3067564;3069200;2980851;86712
255600;3111708;3113344;3024450;87257
259200;3155795;3157431;3068213;87581
262800;3199895;3201531;3111790;88104
266400;3244017;3245653;3155274;88742
270000;3288183;3289819;3198933;89249
273600;3332361;3333997;3242804;89556
277200;3376559;3378195;3286876;89682
280800;3420767;3422403;3330794;89972
284400;3464978;3466614;3374607;90370
288000;3509204;3510840;3418716;90487
291600;3553418;3555054;3462593;90824
295200;3597678;3599314;3506705;90972
298800;3641924;3643560;3550772;91151
302400;3686162;3687798;3594758;91403
306000;3730403;3732039;3638893;91509
309600;3774621;3776257;3682995;91625
313200;3818825;3820461;3726888;91936
316800;3862928;3864564;3770371;92556
320400;3907075;3908711;3814171;92903
324000;3951237;3952873;3858031;93205
327600;3995407;3997043;3902076;93330
331200;4039576;4041212;3946147;93428
334800;4083730;4085366;3990241;93488
338400;4127868;4129504;4034273;93594
342000;4171993;4173629;4078336;93656
345600;4216132;4217768;4122401;93730
