GO	Term	1	2	3	4	5	6	7	8	9	10	11
GO:0051301	cell division	7.18914372433645e-07	NA	NA	NA	NA	0.000900533475560897	0.000129760729256787	NA	NA	NA	NA
GO:0051342	regulation of cyclic-nucleotide phosphodiesterase activity	0.000123595780382491	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000910	cytokinesis	0.00013269084158285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0010564	regulation of cell cycle process	0.00013269084158285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0007059	chromosome segregation	0.00013269084158285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0007049	cell cycle	0.00013269084158285	NA	NA	NA	NA	0.000794031609776722	3.29080403634e-15	NA	NA	NA	NA
GO:0016032	viral process	0.00013269084158285	NA	NA	NA	NA	NA	6.8211408694862e-05	NA	NA	NA	2.22592946366428e-05
GO:0051302	regulation of cell division	0.00013269084158285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0044764	multi-organism cellular process	0.00013269084158285	NA	NA	NA	NA	NA	5.79356826588047e-05	NA	NA	NA	3.23293786789298e-05
GO:0044403	symbiosis, encompassing mutualism through parasitism	0.00013269084158285	NA	NA	NA	NA	NA	9.5050884369985e-05	NA	NA	NA	3.12613805686132e-05
GO:0044419	interspecies interaction between organisms	0.00013269084158285	NA	NA	NA	NA	NA	9.5050884369985e-05	NA	NA	NA	3.12613805686132e-05
GO:0007098	centrosome cycle	0.000136521894582881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0051343	positive regulation of cyclic-nucleotide phosphodiesterase activity	0.000136521894582881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0050690	regulation of defense response to virus by virus	0.000157214009828323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:2001251	negative regulation of chromosome organization	0.000202330757871262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0022402	cell cycle process	0.000204490094352166	NA	NA	NA	NA	NA	6.31914804413217e-13	NA	NA	NA	NA
GO:0043900	regulation of multi-organism process	0.000220084582207803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:1901566	organonitrogen compound biosynthetic process	0.000251500150005954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0007088	regulation of mitotic nuclear division	0.000251500150005954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0051298	centrosome duplication	0.000251500150005954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0016226	iron-sulfur cluster assembly	0.000251500150005954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0031163	metallo-sulfur cluster assembly	0.000251500150005954	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0006518	peptide metabolic process	0.000311094689441948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0009117	nucleotide metabolic process	0.000332067098774599	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0006753	nucleoside phosphate metabolic process	0.000369102509138599	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0016043	cellular component organization	0.00040022819905793	NA	NA	NA	NA	NA	7.05819246454145e-10	NA	NA	NA	0.000168274624919479
GO:0051726	regulation of cell cycle	0.000404981010509241	NA	NA	NA	NA	NA	1.18689203827153e-06	NA	NA	NA	NA
GO:1903047	mitotic cell cycle process	0.000404981010509241	NA	NA	NA	NA	NA	1.63874442645025e-10	NA	NA	NA	NA
GO:0007094	mitotic spindle assembly checkpoint	0.000404981010509241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:1904667	negative regulation of ubiquitin protein ligase activity	0.000404981010509241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0071840	cellular component organization or biogenesis	0.000404981010509241	NA	NA	NA	NA	NA	2.10166108561312e-11	NA	NA	NA	8.02905334926927e-05
GO:0060316	positive regulation of ryanodine-sensitive calcium-release channel activity	0.000404981010509241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0051783	regulation of nuclear division	0.000404981010509241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:1901564	organonitrogen compound metabolic process	0.000404981010509241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0051297	centrosome organization	0.000404981010509241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0071173	spindle assembly checkpoint	0.000404981010509241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:1904666	regulation of ubiquitin protein ligase activity	0.000404981010509241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0019050	suppression by virus of host apoptotic process	0.000404981010509241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0039526	modulation by virus of host apoptotic process	0.000404981010509241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0045841	negative regulation of mitotic metaphase/anaphase transition	0.000426660388120422	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0071174	mitotic spindle checkpoint	0.000426660388120422	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:1902100	negative regulation of metaphase/anaphase transition of cell cycle	0.000464210517722001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0043603	cellular amide metabolic process	0.000500000364229674	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0007091	metaphase/anaphase transition of mitotic cell cycle	0.000511190842157388	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0033046	negative regulation of sister chromatid segregation	0.000511190842157388	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0033048	negative regulation of mitotic sister chromatid segregation	0.000511190842157388	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:2000816	negative regulation of mitotic sister chromatid separation	0.000511190842157388	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0055086	nucleobase-containing small molecule metabolic process	0.000532460410118184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
