GO	Term	1	2	3	4	5	6	7	8	9	10	11
GO:0005829	cytosol	3.66338485738059e-13	8.39799832416207e-10	NA	NA	4.0357470181293e-05	4.20070128482654e-14	6.10276134692045e-10	NA	NA	NA	2.63859236137337e-08
GO:0044444	cytoplasmic part	1.43008659271229e-11	NA	NA	NA	4.0357470181293e-05	0.000170619863641396	NA	NA	NA	NA	8.54640374821821e-05
GO:0005737	cytoplasm	1.43008659271229e-11	NA	NA	NA	2.08494624170184e-05	1.3311395127207e-08	7.4990224299966e-11	NA	NA	0.000178710513740161	1.02884943310735e-06
GO:0005622	intracellular	4.61087932639455e-08	NA	NA	NA	NA	7.80592082602784e-15	1.09061939897123e-41	5.05146599249629e-05	1.07470483274614e-11	7.20986455868618e-12	6.46833814426661e-21
GO:0044424	intracellular part	6.22376101359617e-08	NA	NA	NA	NA	2.492069590971e-15	1.09061939897123e-41	3.74900917751976e-05	6.22482526229325e-12	4.68598970717528e-12	8.76014548040119e-20
GO:0071817	MMXD complex	7.01171919985627e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0043228	non-membrane-bounded organelle	9.48728534052879e-07	NA	NA	NA	NA	1.16766433120442e-06	1.59525290360725e-37	NA	NA	NA	8.71057051061711e-05
GO:0043232	intracellular non-membrane-bounded organelle	9.48728534052879e-07	NA	NA	NA	NA	1.16766433120442e-06	1.59525290360725e-37	NA	NA	NA	8.71057051061711e-05
GO:0043234	protein complex	7.31469142239281e-06	NA	NA	NA	NA	1.59998914563e-08	2.00002641641293e-13	NA	NA	NA	0.000507854554400804
GO:0097361	CIA complex	3.03303760484539e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0032991	macromolecular complex	3.03303760484539e-05	NA	NA	NA	NA	5.01244444250345e-08	1.46128215101765e-15	NA	NA	NA	3.83206221123359e-06
GO:0044428	nuclear part	3.03303760484539e-05	NA	NA	NA	NA	8.85006940075754e-12	1.47246162734596e-23	NA	3.10111093107422e-10	0.000659407458559849	7.61965120723845e-19
GO:0044446	intracellular organelle part	3.64231690162861e-05	NA	NA	NA	NA	3.39656443337253e-05	2.17849565741082e-21	NA	6.39861914745319e-05	NA	2.47121892794814e-14
GO:0015630	microtubule cytoskeleton	3.91736325307753e-05	NA	NA	NA	NA	0.000868507565733674	1.29840951868876e-17	NA	NA	NA	NA
GO:0044422	organelle part	3.91736325307753e-05	NA	NA	NA	NA	9.72585688174525e-06	1.6084706134364e-21	NA	0.000101237538971109	0.000844030202958765	9.18370520146648e-14
GO:0005856	cytoskeleton	3.95707269095019e-05	NA	NA	NA	NA	5.00226152047779e-05	3.3698737762487e-24	0.000619938216475017	NA	NA	NA
