GO	Term	1	2	3	4	5	6	7	8	9	10	11
GO:0005515	protein binding	4.74926329983739e-28	8.97578074220326e-11	2.12330808343589e-07	9.15337012056456e-12	2.03197506142019e-82	1.54462453474555e-69	1.11899894993038e-135	1.99777199884196e-45	1.01492396566586e-50	1.16724734139206e-63	3.41153727891662e-108
GO:0005488	binding	4.38225386925224e-12	2.34580194923934e-05	NA	3.05426189807518e-06	1.67923611012015e-30	2.33237583012444e-28	4.82350232109685e-51	2.20418398940616e-18	1.69864540659813e-21	2.19376645429459e-26	5.56324589941463e-40
GO:0008135	translation factor activity, RNA binding	0.000497124989364222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0004364	glutathione transferase activity	0.000899543409353738	2.91579385586662e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0004332	fructose-bisphosphate aldolase activity	0.000899543409353738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0031997	N-terminal myristoylation domain binding	0.000899543409353738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0043548	phosphatidylinositol 3-kinase binding	0.000899543409353738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups	0.000986435514658914	2.91579385586662e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0046982	protein heterodimerization activity	0.000986435514658914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0031800	type 3 metabotropic glutamate receptor binding	0.000986435514658914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0032795	heterotrimeric G-protein binding	0.000986435514658914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0050998	nitric-oxide synthase binding	0.000986435514658914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0042802	identical protein binding	NA	2.91579385586662e-05	NA	NA	NA	NA	0.000239410286014307	NA	NA	NA	NA
GO:0008934	inositol monophosphate 1-phosphatase activity	NA	0.000116996430896375	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0052832	inositol monophosphate 3-phosphatase activity	NA	0.000116996430896375	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0052833	inositol monophosphate 4-phosphatase activity	NA	0.000116996430896375	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0052834	inositol monophosphate phosphatase activity	NA	0.000116996430896375	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0004459	L-lactate dehydrogenase activity	NA	0.000348600883373219	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0004457	lactate dehydrogenase activity	NA	0.000473745632559822	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000287	magnesium ion binding	NA	0.000553758433316532	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0043138	3'-5' DNA helicase activity	NA	0.000743189149152051	NA	NA	NA	NA	NA	NA	NA	NA	NA
GO:0035091	phosphatidylinositol binding	NA	NA	0.000558011483036892	NA	NA	NA	NA	NA	NA	NA	NA
GO:0097153	cysteine-type endopeptidase activity involved in apoptotic process	NA	NA	NA	NA	0.000560984662296777	NA	NA	NA	NA	NA	NA
GO:0008173	RNA methyltransferase activity	NA	NA	NA	NA	0.000949805094494952	NA	NA	NA	NA	NA	NA
GO:0097199	cysteine-type endopeptidase activity involved in apoptotic signaling pathway	NA	NA	NA	NA	0.000949805094494952	NA	NA	NA	NA	NA	NA
GO:0019904	protein domain specific binding	NA	NA	NA	NA	NA	3.35910051019517e-05	0.000959611059742659	NA	NA	NA	NA
GO:0008134	transcription factor binding	NA	NA	NA	NA	NA	0.000232259665195573	NA	NA	NA	NA	NA
GO:0048027	mRNA 5'-UTR binding	NA	NA	NA	NA	NA	0.000908465617969226	NA	NA	NA	NA	NA
GO:0019899	enzyme binding	NA	NA	NA	NA	NA	0.000908465617969226	0.000691167260799601	NA	NA	NA	NA
GO:0051059	NF-kappaB binding	NA	NA	NA	NA	NA	0.000908465617969226	NA	NA	NA	NA	NA
GO:0031490	chromatin DNA binding	NA	NA	NA	NA	NA	0.000951545566427474	NA	NA	NA	NA	NA
GO:0017160	Ral GTPase binding	NA	NA	NA	NA	NA	NA	6.36926920771508e-05	NA	NA	NA	NA
GO:0005200	structural constituent of cytoskeleton	NA	NA	NA	NA	NA	NA	6.43888758223839e-05	NA	NA	NA	NA
GO:0016538	cyclin-dependent protein serine/threonine kinase regulator activity	NA	NA	NA	NA	NA	NA	8.6300783446629e-05	NA	NA	NA	NA
GO:0008092	cytoskeletal protein binding	NA	NA	NA	NA	NA	NA	0.000691167260799601	NA	NA	NA	NA
GO:0008307	structural constituent of muscle	NA	NA	NA	NA	NA	NA	0.00085776454095376	NA	NA	NA	NA
GO:0043522	leucine zipper domain binding	NA	NA	NA	NA	NA	NA	0.000959611059742659	NA	NA	NA	NA
GO:0008017	microtubule binding	NA	NA	NA	NA	NA	NA	0.000959611059742659	NA	NA	NA	NA
GO:0000988	transcription factor activity, protein binding	NA	NA	NA	NA	NA	NA	0.000959611059742659	NA	2.94594231368534e-05	NA	NA
GO:0000980	RNA polymerase II distal enhancer sequence-specific DNA binding	NA	NA	NA	NA	NA	NA	0.000960948135245156	NA	NA	NA	NA
