GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0005634	8.6928631080981e-16	2.49685080928923	131.35476606047	208	6704	nucleus
GO:0044424	6.22482526229325e-12	3.0970813785637	261.651483587636	314	13354	intracellular part
GO:0005622	1.07470483274614e-11	3.19711466586934	268.35245763189	318	13696	intracellular
GO:0016604	2.30819843682857e-10	4.95049218297626	6.72056753561173	29	343	nuclear body
GO:0044428	3.10111093107422e-10	2.14082528533802	74.6903890546703	127	3812	nuclear part
GO:0044451	3.50263402860573e-10	3.51720933021527	13.6370699847982	42	696	nucleoplasm part
GO:0005654	3.97744880734977e-10	2.24258468756728	55.8806373515005	103	2852	nucleoplasm
GO:0031981	2.72561840701842e-09	2.08192447535179	67.6367321659816	115	3452	nuclear lumen
GO:0043231	1.43266349486146e-08	1.97080990382472	205.986374641067	257	10513	intracellular membrane-bounded organelle
GO:0016607	7.59532407782887e-08	5.53251336898396	3.6835763752041	18	188	nuclear speck
GO:0043229	8.75696109476766e-08	1.95619878366313	225.932548842971	272	11531	intracellular organelle
GO:0043227	1.40227429536141e-07	1.94310834477209	229.126287934238	274	11694	membrane-bounded organelle
GO:0044464	1.94610017448793e-07	3.58616221819124	309.028545689995	336	15772	cell part
GO:0005623	3.2697073288855e-07	3.5085950626858	309.773098361579	336	15810	cell
GO:0043226	4.83762420216986e-07	1.95741730956637	246.564495242385	287	12584	organelle
GO:0070013	5.09674773511487e-07	1.80495012150601	80.1569731434041	121	4091	intracellular organelle lumen
GO:0043233	5.75649547820802e-07	1.79440546224489	81.2933956421373	122	4149	organelle lumen
GO:0031974	1.11199428115451e-06	1.76351883214465	82.3514441754406	122	4203	membrane-enclosed lumen
GO:0000502	1.67414360664171e-05	7.0856364874064	1.44991836045268	9	74	proteasome complex
GO:0044446	6.39861914745319e-05	1.52923936029606	151.927931985812	188	7754	intracellular organelle part
GO:0044422	0.000101237538971109	1.50876666822358	156.04256517088	191	7964	organelle part
GO:0005681	0.000563930909859513	3.54205624918351	3.33089353076966	11	170	spliceosomal complex
GO:0070603	0.000609364347433898	5.31457084081061	1.44991836045268	7	74	SWI/SNF superfamily-type complex
