GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0006906	5.14139669549053e-11	9.49245586750703	3.17700774068699	22	79	vesicle fusion
GO:0090174	1.48021403386886e-10	7.9724452634812	3.78023705853895	23	94	organelle membrane fusion
GO:0016050	3.65260912844193e-09	4.24346773487087	9.37016207063377	34	233	vesicle organization
GO:0048284	7.37410672449953e-09	6.07801560982146	4.66497339138849	23	116	organelle fusion
GO:0044801	9.06931531998586e-09	5.62193002005795	5.18777213352685	24	129	single-organism membrane fusion
GO:0015031	9.06931531998586e-09	1.97370614912632	72.0255805515239	125	1791	protein transport
GO:0045184	9.50488879997129e-09	1.93833143231645	76.97206095791	131	1914	establishment of protein localization
GO:0061025	2.34262785022403e-08	4.77847849952117	6.43444605708757	26	160	membrane fusion
GO:0008104	2.78197525181673e-08	1.82610188772389	93.1386066763425	149	2316	protein localization
GO:0006886	4.47958288338751e-08	2.19193412805526	41.7836840832124	82	1039	intracellular protein transport
GO:0090304	5.41168034484218e-08	1.61590005439569	197.979862119013	267	4923	nucleic acid metabolic process
GO:0044260	1.54431116077469e-07	1.56819019178188	329.121915820029	400	8184	cellular macromolecule metabolic process
GO:0006139	4.06527710994942e-07	1.55452793423224	220.983006773101	287	5495	nucleobase-containing compound metabolic process
GO:0051649	4.12369654624904e-07	1.71084767837899	101.784893565554	154	2531	establishment of localization in cell
GO:0046483	4.46481430205443e-07	1.54615238883782	228.101112723754	294	5672	heterocycle metabolic process
GO:0061024	7.12755814101669e-07	2.07297953520638	40.4565795839381	76	1006	membrane organization
GO:0034613	7.25316943304906e-07	1.87414253012492	60.3631470730527	102	1501	cellular protein localization
GO:0070727	8.35265238832536e-07	1.86390981053036	60.6446540880503	102	1508	cellular macromolecule localization
GO:0034641	8.35265238832536e-07	1.51903986133175	252.954160619255	318	6290	cellular nitrogen compound metabolic process
GO:0010467	8.35265238832536e-07	1.5341138861882	208.476052249637	271	5184	gene expression
GO:0046907	8.35265238832536e-07	1.79482323232323	71.221274794388	115	1771	intracellular transport
GO:0033036	8.35265238832536e-07	1.66438853257747	107.012880986938	158	2661	macromolecule localization
GO:0006725	9.42440538078453e-07	1.51969386518064	228.744557329463	292	5688	cellular aromatic compound metabolic process
GO:0044802	1.21394614463369e-06	2.12890027980907	34.0623488147073	66	847	single-organism membrane organization
GO:1901360	1.34485193799956e-06	1.50665369021827	237.350628930818	300	5902	organic cyclic compound metabolic process
GO:0051641	1.67498603462187e-06	1.61919510579962	116.222181906144	167	2890	cellular localization
GO:0000184	1.8205765691746e-06	4.59231217239371	4.82583454281567	19	120	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0016070	2.54341014294054e-06	1.52176284402198	178.958030962748	236	4450	RNA metabolic process
GO:1902582	3.18277037114764e-06	1.78423128708255	62.9369254958878	102	1565	single-organism intracellular transport
GO:0016197	4.17855153964946e-06	3.14155251141552	9.93317610062893	28	247	endosomal transport
GO:0048278	4.48173602855452e-06	6.43814949292601	2.49334784712143	13	62	vesicle docking
GO:0043170	5.18105873217872e-06	1.47169764623795	356.066158684083	416	8854	macromolecule metabolic process
GO:0006807	5.20823727342408e-06	1.46254723792913	265.340469279149	325	6598	nitrogen compound metabolic process
GO:0022406	5.83193178249345e-06	5.66702508960574	2.975931301403	14	74	membrane docking
GO:0034645	6.05538036807544e-06	1.48523790046852	192.470367682632	248	4786	cellular macromolecule biosynthetic process
GO:0044271	1.08183277159361e-05	1.47235263127707	189.212929366231	243	4705	cellular nitrogen compound biosynthetic process
GO:0071702	1.18164939064308e-05	1.58363313550414	102.146831156265	146	2540	organic substance transport
GO:0009059	1.59018851032176e-05	1.45553016717765	198.663522012579	252	4940	macromolecule biosynthetic process
GO:0044265	1.80766544703152e-05	1.92882109004739	36.5556966618287	65	909	cellular macromolecule catabolic process
GO:0018158	2.11146223173326e-05	40.0707070707071	0.321722302854378	5	8	protein oxidation
